customer_id,campaign_id,channel,region,device,age,income,tenure_months,prev_purchases,session_duration_min,pages_viewed,spend,impressions,clicks,conversions,revenue,converted
C00026,CMP_039,Search,South,Desktop,52,51442.0,17,3,12.95,6,224.98,12812,844,88,8422.48,1
C00027,CMP_030,Email,South,Mobile,54,65437.0,10,6,1.71,9,64.33,3492,142,0,0.0,0
C00028,CMP_031,Email,South,Tablet,42,55360.0,13,3,0.56,6,44.28,2071,97,0,0.0,0
C00029,CMP_008,Display,North,Desktop,55,65474.0,91,4,8.79,7,144.97,5209,30,0,0.0,0
C00030,CMP_003,Display,South,Mobile,58,32579.0,37,0,5.25,6,287.02,15279,135,0,0.0,0
C00031,CMP_012,Affiliate,North,Desktop,44,54807.0,92,4,0.72,5,159.67,8708,339,0,0.0,0
C00032,CMP_035,Social,West,Mobile,20,30861.0,32,3,4.32,5,519.58,20786,321,0,0.0,0
C00033,CMP_021,Social,South,Mobile,63,61963.0,29,4,10.63,6,525.27,27046,617,0,0.0,0
C00034,CMP_032,Search,North,Mobile,42,21191.0,46,3,3.34,3,394.96,20928,1093,0,0.0,0
C00035,CMP_020,Social,West,Desktop,52,61270.0,90,1,5.92,5,465.89,28474,616,0,0.0,0
C00036,CMP_020,Email,South,Mobile,65,28558.0,54,3,2.74,4,40.37,2144,78,6,476.89,1
C00037,CMP_025,Search,East,Mobile,36,48096.0,3,2,1.91,4,548.72,31299,2015,127,11804.96,1
C00038,CMP_039,Social,West,Desktop,50,71109.0,26,2,9.52,8,639.67,31053,383,0,0.0,0
C00039,CMP_018,Display,East,Tablet,19,59093.0,94,1,3.02,5,266.64,12508,163,0,0.0,0
C00040,CMP_024,Search,North,Desktop,64,25378.0,14,1,3.96,7,864.66,42068,2508,221,16898.9,1
C00041,CMP_037,Influencer,East,Mobile,21,42897.0,80,4,5.16,3,1838.4,83662,2257,0,0.0,0
C00042,CMP_015,Display,East,Tablet,46,27975.0,89,5,2.7,6,272.22,12964,110,0,0.0,0
C00043,CMP_034,Social,North,Mobile,36,24494.0,20,3,23.4,4,435.08,24017,417,0,0.0,0
C00044,CMP_022,Influencer,West,Mobile,19,57118.0,53,7,8.66,8,1033.85,57336,1239,56,7329.31,1
C00045,CMP_036,Influencer,West,Mobile,42,65085.0,57,2,1.36,13,1210.31,65921,1325,0,0.0,0
C00046,CMP_019,Social,West,Mobile,66,62931.0,76,3,10.1,8,480.67,25529,546,0,0.0,0
C00047,CMP_026,Social,East,Mobile,26,65847.0,76,4,6.05,6,391.61,24762,302,0,0.0,0
C00048,CMP_013,Display,West,Desktop,33,54786.0,5,2,6.6,4,336.71,21265,151,0,0.0,0
C00049,CMP_026,Email,North,Desktop,27,50079.0,30,2,4.44,9,39.82,2052,71,0,0.0,0
C00050,CMP_014,Social,North,Mobile,24,35685.0,90,1,3.89,4,294.3,19297,312,0,0.0,0
C00051,CMP_025,Email,East,Desktop,29,47079.0,33,3,10.1,7,44.74,2873,87,0,0.0,0
C00052,CMP_032,Influencer,West,Desktop,47,31216.0,23,4,1.87,7,1257.55,64817,1995,0,0.0,0
C00053,CMP_018,Display,North,Mobile,58,39787.0,60,2,11.71,5,417.79,18336,210,0,0.0,0
C00054,CMP_018,Display,West,Mobile,53,56601.0,18,3,5.48,5,285.14,13237,101,0,0.0,0
C00055,CMP_013,Influencer,West,Desktop,58,52879.0,14,2,1.25,7,1354.41,68911,1778,0,0.0,0
C00056,CMP_030,Search,Central,Mobile,55,110165.0,76,2,0.94,11,433.84,20350,1338,100,8193.39,1
C00057,CMP_024,Search,South,Mobile,37,30776.0,11,3,2.78,10,757.94,30486,1744,0,0.0,0
C00058,CMP_021,Email,West,Mobile,64,52748.0,85,4,3.19,8,44.43,1762,81,0,0.0,0
C00059,CMP_002,Email,North,Desktop,26,29373.0,23,6,0.99,5,46.94,2148,78,0,0.0,0
C00060,CMP_005,Display,West,Mobile,54,48020.0,10,1,7.16,11,307.12,13567,104,0,0.0,0
C00061,CMP_001,Search,North,Mobile,23,48752.0,71,3,7.99,8,505.4,15697,831,27,1761.03,1
C00062,CMP_035,Search,East,Mobile,57,70208.0,16,2,7.68,5,403.4,23564,1573,0,0.0,0
C00063,CMP_035,Influencer,East,Mobile,22,46906.0,35,5,9.4,7,1370.36,82737,1942,0,0.0,0
C00064,CMP_003,Display,Central,Tablet,29,51556.0,33,3,3.42,4,383.28,21444,206,0,0.0,0
C00065,CMP_002,Search,West,Mobile,38,47254.0,48,3,6.4,6,363.01,10512,589,0,0.0,0
C00066,CMP_032,Search,East,Desktop,54,29781.0,45,5,9.34,5,648.02,31167,1835,0,0.0,0
C00067,CMP_021,Social,South,Mobile,20,43262.0,18,1,7.22,6,430.2,23462,302,0,0.0,0
C00068,CMP_013,Email,Central,Mobile,31,48125.0,22,6,5.96,9,44.85,2801,99,0,0.0,0
C00069,CMP_025,Search,South,Mobile,35,56329.0,18,4,12.02,5,537.36,38549,1994,0,0.0,0
C00070,CMP_010,Social,Central,Mobile,56,65061.0,5,3,3.71,6,530.46,26587,440,0,0.0,0
C00071,CMP_008,Search,East,Mobile,67,50777.0,62,6,3.69,10,993.35,51218,2884,0,0.0,0
C00072,CMP_015,Affiliate,North,Mobile,49,50461.0,45,3,5.48,10,348.7,19137,782,0,0.0,0
C00073,CMP_036,Social,Central,Mobile,44,24025.0,10,3,5.46,3,466.89,20608,251,0,0.0,0
C00074,CMP_031,Email,North,Desktop,35,64715.0,31,4,5.29,5,67.96,2877,104,0,0.0,0
C00075,CMP_008,Social,Central,Desktop,60,42474.0,64,0,1.08,5,458.58,26987,582,0,0.0,0
C00076,CMP_023,Social,West,Mobile,23,68448.0,27,3,10.23,4,319.47,18146,232,0,0.0,0
C00077,CMP_036,Display,Central,Mobile,24,78696.0,38,5,6.39,6,334.0,16029,112,0,0.0,0
C00078,CMP_039,Search,Central,Mobile,28,51618.0,71,5,0.25,10,360.48,12373,783,0,0.0,0
C00079,CMP_031,Influencer,West,Mobile,31,36580.0,64,5,0.66,5,936.85,26816,748,0,0.0,0
C00080,CMP_006,Display,North,Mobile,42,54699.0,67,4,11.94,12,385.69,19004,150,0,0.0,0
C00081,CMP_010,Search,East,Tablet,67,61277.0,36,8,3.13,6,567.7,28167,1667,76,8117.6,1
C00082,CMP_009,Influencer,Central,Desktop,51,49321.0,46,4,5.17,7,905.01,43029,1268,0,0.0,0
C00083,CMP_007,Email,East,Tablet,37,44847.0,81,2,2.0,5,41.08,2423,110,0,0.0,0
C00084,CMP_008,Email,East,Desktop,28,65144.0,83,3,24.47,6,273.02,1658,66,0,0.0,0
C00085,CMP_013,Email,East,Desktop,51,63956.0,5,2,4.58,5,54.94,1661,70,0,0.0,0
C00086,CMP_023,Display,South,Desktop,31,48767.0,80,1,3.26,5,262.03,18339,92,0,0.0,0
C00087,CMP_016,Search,Central,Mobile,68,25227.0,85,4,9.7,14,556.55,13847,904,0,0.0,0
C00088,CMP_017,Email,North,Desktop,42,63215.0,90,7,1.7,6,56.26,2504,108,0,0.0,0
C00089,CMP_010,Search,West,Mobile,46,41188.0,25,3,10.66,8,661.78,26474,1535,0,0.0,0
C00090,CMP_007,Email,North,Mobile,64,58858.0,48,1,4.22,4,32.24,1768,65,0,0.0,0
C00091,CMP_040,Display,East,Mobile,33,57721.0,4,7,8.36,6,196.41,7295,121,0,0.0,0
C00092,CMP_024,Search,Central,Mobile,42,20999.0,10,5,6.05,7,587.55,33263,1898,0,0.0,0
C00093,CMP_010,Social,West,Desktop,45,56459.0,53,3,4.0,6,478.13,22412,370,0,0.0,0
C00094,CMP_033,Social,Central,Mobile,32,64262.0,19,2,1.07,6,319.81,18298,207,0,0.0,0
C00095,CMP_034,Display,Central,Mobile,20,66469.0,21,4,5.43,5,252.38,6577,83,0,0.0,0
C00096,CMP_039,Social,East,Desktop,32,57113.0,28,4,2.43,8,416.96,20017,300,0,0.0,0
C00097,CMP_007,Email,North,Desktop,23,19411.0,44,2,5.31,2,51.85,2955,117,0,0.0,0
C00098,CMP_026,Email,West,Tablet,53,77987.0,14,4,9.08,6,49.23,1903,74,0,0.0,0
C00099,CMP_040,Affiliate,Central,Tablet,18,62398.0,77,1,7.22,11,278.83,14807,613,0,0.0,0
C00100,CMP_033,Affiliate,West,Mobile,34,33340.0,64,1,0.17,5,182.01,9605,370,0,0.0,0
C00101,CMP_010,Display,South,Mobile,63,40820.0,75,3,3.68,3,436.27,22902,212,0,0.0,0
C00102,CMP_036,Social,North,Mobile,47,59162.0,88,4,2.85,3,364.03,16885,243,0,0.0,0
C00103,CMP_017,Affiliate,South,Mobile,52,67236.0,57,5,3.17,10,376.05,21542,653,0,0.0,0
C00104,CMP_020,Influencer,West,Desktop,52,46217.0,34,4,5.71,7,416.49,22275,542,0,0.0,0
C00105,CMP_023,Display,South,Tablet,33,69859.0,93,7,3.31,7,147.54,7804,122,0,0.0,0
C00106,CMP_031,Search,South,Tablet,50,22730.0,54,3,2.39,7,585.07,25868,1878,0,0.0,0
C00107,CMP_005,Social,South,Mobile,29,36236.0,44,4,1.44,6,520.11,20885,404,44,4849.05,1
C00108,CMP_022,Email,South,Mobile,51,17841.0,39,1,3.53,10,53.5,2930,128,0,0.0,0
C00109,CMP_033,Affiliate,East,Mobile,53,38847.0,3,4,8.6,8,241.92,10388,410,0,0.0,0
C00110,CMP_022,Search,West,Mobile,63,82145.0,91,2,8.91,9,651.33,41963,2618,0,0.0,0
C00111,CMP_011,Social,North,Mobile,65,92040.0,78,2,6.14,7,397.47,27973,384,20,1854.22,1
C00112,CMP_003,Social,Central,Mobile,19,59223.0,67,6,0.51,2,635.5,27285,470,0,0.0,0
C00113,CMP_022,Search,North,Mobile,33,43508.0,21,1,5.69,9,507.34,21194,1266,72,5366.96,1
C00114,CMP_029,Email,West,Mobile,46,51010.0,89,2,12.93,7,69.12,3762,136,0,0.0,0
C00115,CMP_022,Affiliate,South,Tablet,34,63520.0,16,3,1.58,4,194.48,10316,309,0,0.0,0
C00116,CMP_040,Influencer,East,Mobile,50,26866.0,23,3,3.41,5,1094.14,54363,936,0,0.0,0
C00117,CMP_025,Display,North,Mobile,62,44695.0,6,3,8.66,3,212.62,11856,11,0,0.0,0
C00118,CMP_021,Search,North,Desktop,31,80828.0,27,3,0.6,3,753.5,42999,2560,0,0.0,0
C00119,CMP_003,Display,West,Mobile,64,36177.0,31,3,3.47,8,409.15,17299,116,0,0.0,0
C00120,CMP_023,Search,North,Desktop,63,41518.0,76,3,14.95,5,568.7,23576,1621,194,15995.26,1
C00121,CMP_007,Display,South,Desktop,65,55237.0,31,7,13.82,9,349.09,10939,60,0,0.0,0
C00122,CMP_029,Email,West,Mobile,21,60097.0,91,1,13.89,4,51.92,1718,71,2,141.98,1
C00123,CMP_007,Search,Central,Mobile,33,43750.0,29,5,3.52,6,706.95,28610,1653,152,16105.72,1
C00124,CMP_037,Email,Central,Mobile,24,56385.0,50,5,11.86,3,67.74,3159,97,0,0.0,0
C00125,CMP_013,Search,South,Tablet,24,65943.0,56,9,5.86,6,394.31,22875,1365,0,0.0,0
C00126,CMP_018,Social,East,Mobile,20,90306.0,79,0,2.31,4,273.27,15342,292,29,290.0,1
C00127,CMP_006,Email,East,Desktop,40,52728.0,72,4,2.94,6,41.74,2282,84,0,0.0,0
C00128,CMP_009,Email,North,Desktop,22,54257.0,83,3,6.8,6,43.4,2084,81,0,0.0,0
C00129,CMP_037,Search,Central,Desktop,33,82494.0,90,5,0.53,2,637.8,46137,2984,138,7396.06,1
C00130,CMP_012,Email,West,Desktop,69,45115.0,11,2,4.34,5,50.17,1912,73,0,0.0,0
C00131,CMP_021,Affiliate,North,Mobile,63,31162.0,9,1,5.38,6,234.98,11160,405,24,2710.67,1
C00132,CMP_040,Search,North,Desktop,66,59504.0,43,2,7.76,5,586.68,31337,1913,0,0.0,0
C00133,CMP_025,Social,West,Mobile,19,74371.0,14,3,0.78,3,3270.28,16711,388,0,0.0,0
C00134,CMP_002,Search,South,Mobile,52,61499.0,47,0,4.39,11,461.97,21710,1474,0,0.0,0
C00135,CMP_015,Email,East,Desktop,50,53254.0,56,3,9.46,6,18.25,649,23,0,0.0,0
C00136,CMP_016,Affiliate,East,Mobile,24,28929.0,26,0,17.67,4,182.07,8488,300,0,0.0,0
C00137,CMP_012,Search,West,Tablet,65,53949.0,9,2,2.31,5,799.51,51778,3448,197,10643.07,1
C00138,CMP_010,Influencer,Central,Mobile,39,77197.0,92,4,11.81,10,267.8,13840,420,46,3383.54,1
C00139,CMP_021,Email,Central,Mobile,68,32786.0,35,3,9.08,7,67.01,4644,179,0,0.0,0
C00140,CMP_016,Search,South,Mobile,23,50595.0,80,3,13.16,5,497.91,31973,1478,0,0.0,0
C00141,CMP_012,Search,North,Mobile,51,48025.0,59,1,0.58,8,753.27,26551,1918,0,0.0,0
C00142,CMP_017,Affiliate,South,Desktop,24,42441.0,63,0,8.12,8,173.41,6676,147,0,0.0,0
C00143,CMP_014,Search,West,Mobile,67,59463.0,74,2,11.62,7,148.74,9571,669,25,2688.05,1
C00144,CMP_010,Search,South,Mobile,49,62979.0,25,6,4.86,8,445.45,21848,1183,0,0.0,0
C00145,CMP_019,Social,West,Mobile,21,62791.0,20,0,3.8,7,384.17,13542,158,0,0.0,0
C00146,CMP_038,Social,South,Mobile,29,37417.0,95,1,5.42,5,446.45,26586,489,0,0.0,0
C00147,CMP_021,Search,East,Mobile,36,25372.0,64,2,10.97,6,345.56,22603,1348,0,0.0,0
C00148,CMP_024,Search,North,Mobile,18,59723.0,28,5,2.42,7,667.9,43357,3074,0,0.0,0
C00149,CMP_040,Email,North,Tablet,18,45893.0,62,2,2.26,7,50.41,2772,101,0,0.0,0
C00150,CMP_025,Influencer,Central,Desktop,66,88090.0,37,4,0.34,4,977.82,60536,1791,0,0.0,0
C00151,CMP_009,Affiliate,North,Mobile,69,88921.0,82,5,4.47,4,258.76,14289,465,37,3372.52,1
C00152,CMP_016,Email,East,Desktop,45,90832.0,48,3,1.27,9,51.34,2072,73,0,0.0,0
C00153,CMP_020,Search,East,Desktop,64,38078.0,30,3,4.54,4,694.81,42488,2668,0,0.0,0
C00154,CMP_019,Email,West,Tablet,52,65249.0,66,2,2.0,10,53.01,2537,100,0,0.0,0
C00155,CMP_006,Display,West,Mobile,19,70677.0,72,2,3.06,3,309.48,21208,295,0,0.0,0
C00156,CMP_005,Social,East,Desktop,55,68650.0,35,1,3.5,6,637.35,29687,503,58,4412.32,1
C00157,CMP_014,Display,East,Mobile,18,48621.0,72,4,5.61,3,124.92,5955,92,0,0.0,0
C00158,CMP_037,Display,West,Mobile,60,78025.0,22,2,5.97,7,182.74,7160,70,0,0.0,0
C00159,CMP_029,Influencer,North,Desktop,37,55009.0,22,4,4.02,4,1592.41,91196,1732,163,13585.07,1
C00160,CMP_034,Email,South,Mobile,25,57306.0,79,5,3.34,4,28.0,1932,60,0,0.0,0
C00161,CMP_007,Affiliate,North,Desktop,31,27319.0,59,2,3.02,8,317.24,18409,721,0,0.0,0
C00162,CMP_017,Social,South,Mobile,53,66606.0,3,4,0.92,8,438.34,22291,395,0,0.0,0
C00163,CMP_024,Email,South,Mobile,62,50313.0,64,2,10.99,3,30.39,1383,54,0,0.0,0
C00164,CMP_018,Search,North,Desktop,47,63366.0,29,2,2.31,10,778.28,33831,2073,0,0.0,0
C00165,CMP_017,Social,North,Mobile,26,59232.0,26,0,4.99,2,542.61,33789,602,58,6041.12,1
C00166,CMP_015,Influencer,East,Mobile,64,58257.0,40,1,1.5,4,1211.25,52960,1356,0,0.0,0
C00167,CMP_003,Influencer,North,Mobile,59,54177.0,43,2,7.98,3,1164.41,33981,573,0,0.0,0
C00168,CMP_035,Social,West,Mobile,39,69159.0,85,5,5.1,3,555.7,44502,1010,0,0.0,0
C00169,CMP_038,Affiliate,West,Mobile,46,51420.0,41,3,6.32,10,122.61,6494,200,0,0.0,0
C00170,CMP_004,Social,East,Desktop,68,28806.0,28,2,1.44,2,483.39,22367,481,0,0.0,0
C00171,CMP_017,Search,East,Desktop,37,65241.0,74,3,6.56,12,340.5,14765,845,72,3360.57,1
C00172,CMP_021,Social,Central,Mobile,19,40438.0,52,5,0.6,4,469.67,26087,469,0,0.0,0
C00173,CMP_032,Affiliate,West,Mobile,25,31163.0,0,5,2.73,5,240.31,9257,211,0,0.0,0
C00174,CMP_040,Email,Central,Mobile,49,36600.0,60,4,1.65,6,49.49,2168,98,0,0.0,0
C00175,CMP_017,Email,South,Desktop,69,60100.0,48,1,5.04,1,74.7,4059,160,0,0.0,0
C00176,CMP_030,Search,East,Mobile,56,53263.0,55,0,11.52,3,318.16,13126,630,69,4596.99,1
C00177,CMP_038,Affiliate,North,Mobile,50,16612.0,17,1,7.38,6,303.91,11640,328,9,886.45,1
C00178,CMP_034,Affiliate,East,Desktop,34,48094.0,45,2,13.23,4,244.66,10950,349,0,0.0,0
C00179,CMP_012,Display,North,Mobile,40,76046.0,62,0,5.21,5,309.0,14589,224,0,0.0,0
C00180,CMP_033,Affiliate,South,Tablet,19,46877.0,64,2,8.1,8,314.38,14965,340,0,0.0,0
C00181,CMP_017,Affiliate,North,Mobile,37,52021.0,65,2,9.97,3,310.58,14698,537,0,0.0,0
C00182,CMP_001,Search,South,Mobile,50,73774.0,95,4,9.89,3,712.14,37625,2392,0,0.0,0
C00183,CMP_031,Social,Central,Tablet,65,69319.0,48,0,1.37,4,295.55,12729,200,0,0.0,0
C00184,CMP_034,Influencer,West,Tablet,65,73392.0,41,5,2.27,2,1422.41,75373,2224,253,29261.63,1
C00185,CMP_014,Display,Central,Mobile,60,15000.0,52,1,9.17,5,368.48,16290,156,0,0.0,0
C00186,CMP_019,Social,Central,Mobile,19,86203.0,31,4,13.33,7,460.38,22476,342,0,0.0,0
C00187,CMP_015,Email,North,Tablet,60,66455.0,30,3,2.12,7,59.48,2596,118,0,0.0,0
C00188,CMP_005,Display,North,Mobile,29,99307.0,66,4,2.42,4,308.71,9851,147,7,366.55,1
C00189,CMP_040,Social,Central,Desktop,50,40918.0,30,5,7.32,5,260.58,13824,151,0,0.0,0
C00190,CMP_001,Affiliate,Central,Mobile,67,23258.0,71,1,3.34,5,219.65,13330,424,0,0.0,0
C00191,CMP_023,Social,South,Desktop,64,55130.0,71,3,9.58,8,344.01,18087,311,0,0.0,0
C00192,CMP_001,Email,South,Desktop,52,50043.0,91,4,7.8,5,50.44,1900,80,0,0.0,0
C00193,CMP_028,Influencer,West,Desktop,33,66766.0,12,0,10.53,3,1056.8,38833,907,0,0.0,0
C00194,CMP_037,Email,East,Mobile,45,74349.0,34,4,3.77,9,77.09,4509,214,16,1261.57,1
C00195,CMP_026,Email,South,Tablet,54,53429.0,74,1,3.18,9,56.83,3078,94,0,0.0,0
C00196,CMP_025,Search,South,Mobile,44,50667.0,41,3,2.46,9,589.61,30413,1852,114,9483.51,1
C00197,CMP_034,Affiliate,West,Mobile,39,64409.0,62,6,13.11,4,271.26,15879,434,0,0.0,0
C00198,CMP_039,Social,Central,Desktop,38,50386.0,70,5,1.44,7,451.03,25587,430,34,3002.95,1
C00199,CMP_035,Social,Central,Mobile,49,48880.0,84,2,1.27,4,660.49,33867,282,0,0.0,0
C00200,CMP_010,Influencer,West,Mobile,19,73668.0,21,2,5.34,15,1362.82,87174,2735,138,11493.16,1
C00201,CMP_023,Affiliate,Central,Desktop,69,77676.0,24,1,3.13,5,219.91,14775,339,0,0.0,0
C00202,CMP_033,Search,North,Desktop,23,74511.0,45,1,10.03,6,415.87,26131,1627,184,15126.87,1
C00203,CMP_012,Email,Central,Desktop,69,51972.0,48,1,1.16,6,53.45,3082,114,0,0.0,0
C00204,CMP_028,Email,South,Mobile,19,16484.0,86,8,4.11,9,80.79,4133,159,0,0.0,0
C00205,CMP_001,Social,South,Mobile,44,52332.0,3,2,0.73,3,381.47,19258,403,0,0.0,0
C00206,CMP_036,Email,Central,Mobile,39,41356.0,23,3,3.58,6,36.01,2070,95,0,0.0,0
C00207,CMP_025,Display,West,Desktop,47,52665.0,87,2,5.24,8,389.43,17289,23,0,0.0,0
C00208,CMP_030,Email,North,Mobile,40,42920.0,59,5,4.6,5,51.83,2560,97,5,647.42,1
C00209,CMP_034,Search,South,Desktop,64,54627.0,64,3,4.35,5,306.52,13483,827,0,0.0,0
C00210,CMP_009,Display,West,Tablet,18,36293.0,23,5,7.85,3,318.88,15717,122,0,0.0,0
C00211,CMP_019,Search,North,Desktop,69,31947.0,59,3,2.01,3,805.46,33662,2162,0,0.0,0
C00212,CMP_035,Social,North,Mobile,53,77008.0,35,2,6.42,7,148.03,7082,180,0,0.0,0
C00213,CMP_007,Influencer,South,Mobile,58,37546.0,70,3,4.22,5,1458.76,67212,1455,46,6128.5,1
C00214,CMP_033,Display,South,Mobile,25,55006.0,8,6,3.63,5,1949.85,11379,43,0,0.0,0
C00215,CMP_012,Display,South,Mobile,21,72181.0,27,4,6.96,6,281.7,17358,186,14,1068.35,1
C00216,CMP_024,Email,West,Desktop,38,71457.0,61,5,5.56,5,42.9,2391,81,0,0.0,0
C00217,CMP_021,Email,East,Desktop,34,69307.0,57,5,6.73,4,66.68,2349,99,4,335.68,1
C00218,CMP_028,Affiliate,East,Mobile,58,60452.0,80,2,17.01,5,324.87,18190,540,49,4602.26,1
C00219,CMP_034,Social,West,Mobile,64,68032.0,76,2,4.19,8,237.55,13960,239,0,0.0,0
C00220,CMP_014,Social,Central,Mobile,40,79716.0,1,2,1.32,3,161.15,7531,162,0,0.0,0
C00221,CMP_007,Search,South,Mobile,57,62650.0,8,4,2.07,5,327.45,18886,1087,0,0.0,0
C00222,CMP_017,Display,East,Desktop,21,21930.0,34,1,13.03,5,338.3,20088,490,9,741.47,1
C00223,CMP_025,Affiliate,Central,Desktop,56,45486.0,92,5,3.51,7,78.84,2668,76,0,0.0,0
C00224,CMP_031,Social,South,Desktop,23,67535.0,45,3,7.81,6,322.72,19240,274,0,0.0,0
C00225,CMP_031,Affiliate,North,Mobile,52,43712.0,85,4,4.59,8,319.78,15308,633,0,0.0,0
C00226,CMP_014,Email,West,Desktop,37,84162.0,5,5,1.74,4,58.98,2141,85,0,0.0,0
C00227,CMP_038,Search,Central,Mobile,39,53863.0,92,4,5.51,5,294.6,15200,831,0,0.0,0
C00228,CMP_004,Display,West,Mobile,32,56534.0,5,0,2.59,4,317.83,14666,105,0,0.0,0
C00229,CMP_005,Email,West,Desktop,38,75245.0,77,4,2.89,6,35.64,2086,102,0,0.0,0
C00230,CMP_001,Email,North,Mobile,63,51709.0,84,5,4.61,8,291.42,2262,93,0,0.0,1
C00231,CMP_038,Search,South,Desktop,60,58173.0,28,2,0.89,5,497.02,27558,1526,0,0.0,0
C00232,CMP_008,Affiliate,South,Mobile,35,71184.0,28,4,7.68,3,215.91,9111,316,0,0.0,0
C00233,CMP_025,Search,West,Desktop,33,28499.0,55,3,3.19,7,584.48,26943,1701,0,0.0,0
C00234,CMP_033,Affiliate,South,Tablet,44,49865.0,69,0,8.46,5,194.72,9141,301,0,0.0,0
C00235,CMP_031,Influencer,East,Mobile,53,69925.0,11,1,8.23,10,949.02,53612,901,0,0.0,0
C00236,CMP_038,Search,North,Mobile,27,56181.0,22,2,4.06,8,760.66,48504,2654,0,0.0,0
C00237,CMP_003,Influencer,North,Mobile,55,81412.0,72,1,5.24,8,7557.79,66664,1150,0,0.0,0
C00238,CMP_017,Email,South,Desktop,67,26633.0,77,1,6.47,15,33.64,1402,53,1,105.01,1
C00239,CMP_021,Email,Central,Mobile,61,24580.0,14,1,3.5,6,51.52,2356,111,0,0.0,0
C00240,CMP_028,Influencer,North,Desktop,46,68854.0,85,3,0.67,7,664.82,35974,564,59,4008.22,1
C00241,CMP_025,Influencer,South,Mobile,34,70585.0,83,2,5.48,3,1241.17,76471,1454,130,6236.34,1
C00242,CMP_023,Social,East,Desktop,34,51521.0,83,8,9.93,6,467.22,22861,215,0,0.0,0
C00243,CMP_013,Search,Central,Desktop,56,62207.0,23,1,2.5,3,745.23,42296,2703,139,16697.55,1
C00244,CMP_005,Display,North,Desktop,41,68414.0,64,3,8.8,5,337.98,11639,201,8,1034.83,1
C00245,CMP_018,Affiliate,West,Mobile,23,40350.0,15,1,1.52,7,168.84,7519,235,0,0.0,0
C00246,CMP_011,Display,West,Desktop,53,42277.0,18,3,3.83,3,249.08,14260,147,0,0.0,0
C00247,CMP_023,Search,West,Desktop,25,58415.0,6,1,4.32,11,805.11,20971,1254,115,10507.44,1
C00248,CMP_032,Social,West,Desktop,69,71274.0,47,4,4.69,9,362.25,22057,376,0,0.0,0
C00249,CMP_023,Search,North,Desktop,39,34013.0,68,6,2.17,10,584.41,31475,1997,0,0.0,0
